NAME,STATE,POPULATION,COUNTY,NAICS_DESC,LEVEL_,TOT_ENROLL,LATITUDE,LONGITUDE
L'ECOLE CULINAIRE-ST LOUIS,MO,331,ST. LOUIS,JUNIOR COLLEGES,2,308,38.635396687, -90.392160785
AVEDA INSTITUTE-COLUMBUS,OH,331,FRANKLIN,COSMETOLOGY AND BARBER SCHOOLS,3,287,39.994536673, -83.014110982
NEW YORK METHODIST HOSPITAL CENTER FOR ALLIED HEALTH EDUCATI,NY,331,KINGS,OTHER TECHNICAL AND TRADE SCHOOLS,2,227,40.608669494, -73.959024085
WESTERN THEOLOGICAL SEMINARY,MI,332,OTTAWA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,272,42.786245731, -86.103239516
EVEREST INSTITUTE-GRAND RAPIDS,MI,332,KENT,OTHER TECHNICAL AND TRADE SCHOOLS,3,305,43.034887661, -85.626641622
MILAN INSTITUTE-SAN ANTONIO INGRAM,TX,332,BEXAR,COSMETOLOGY AND BARBER SCHOOLS,3,302,29.472722852, -98.615223907
BRANFORD HALL CAREER INSTITUTE-ALBANY CAMPUS,NY,333,ALBANY,OTHER TECHNICAL AND TRADE SCHOOLS,3,309,42.743118024, -73.840479516
RIVERSIDE COLLEGE OF HEALTH CAREERS,VA,333,NEWPORT NEWS,JUNIOR COLLEGES,2,270,37.035234451, -76.45634463
DADE MEDICAL COLLEGE-HOMESTEAD,FL,333,MIAMI-DADE,JUNIOR COLLEGES,2,292,25.473320087, -80.477257971
ITT TECHNICAL INSTITUTE-BOISE,ID,334,ADA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,274,43.660091024, -116.335509152
DEVRY UNIVERSITY-MICHIGAN,MI,334,OAKLAND,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,289,42.486017805, -83.245809809
KAPLAN COLLEGE-LAREDO,TX,334,WEBB,JUNIOR COLLEGES,2,300,27.56158829, -99.474475416
PAUL MITCHELL THE SCHOOL-ATLANTA,GA,334,FULTON,COSMETOLOGY AND BARBER SCHOOLS,3,305,33.782527643, -84.416273485
REGENCY BEAUTY INSTITUTE-BLAINE,MN,334,ANOKA,COSMETOLOGY AND BARBER SCHOOLS,3,132,45.132463636, -93.266236364
PAUL MITCHELL THE SCHOOL-CHICAGO,IL,334,COOK,COSMETOLOGY AND BARBER SCHOOLS,3,301,41.866212729, -87.646643914
